Name	Variable	Namespace	Filename
"""NF_TED_CHANGED"""	NF_TED_CHANGED		common/Simsignals.cc
"""NF_TX_ACKED"""	NF_TX_ACKED		common/Simsignals.cc
"""VoIPMosSignal"""	mosSignal	SimpleVoIPReceiver::	applications/voip/SimpleVoIPReceiver.cc
"""VoIPPacketDelay"""	packetDelaySignal	SimpleVoIPReceiver::	applications/voip/SimpleVoIPReceiver.cc
"""VoIPPacketLossRate"""	packetLossRateSignal	SimpleVoIPReceiver::	applications/voip/SimpleVoIPReceiver.cc
"""VoIPPlayoutDelay"""	playoutDelaySignal	SimpleVoIPReceiver::	applications/voip/SimpleVoIPReceiver.cc
"""VoIPPlayoutLossRate"""	playoutLossRateSignal	SimpleVoIPReceiver::	applications/voip/SimpleVoIPReceiver.cc
"""VoIPTaildropLossRate"""	taildropLossRateSignal	SimpleVoIPReceiver::	applications/voip/SimpleVoIPReceiver.cc
"""acceptConfirm"""	acceptConfirmSignal	Ieee80211AgentSTA::	linklayer/ieee80211/mgmt/Ieee80211AgentSTA.cc
"""backoff"""	backoffSignal	EtherMAC::	linklayer/ethernet/EtherMAC.cc
"""badResponse"""	badResponseSignal	RIPRouting::	routing/rip/RIPRouting.cc
"""bitErrorRate"""	bitErrorRateSignal	Radio::	physicallayer/common/packetlevel/Radio.cc
"""collision"""	collisionSignal	EtherMAC::	linklayer/ethernet/EtherMAC.cc
"""completedARPResolution"""	completedARPResolutionSignal	IARP::	networklayer/contract/IARP.cc
"""connState"""	connStateSignal	VoIPStreamReceiver::	applications/voipstream/VoIPStreamReceiver.cc
"""connect"""	connectSignal	TCPAppBase::	applications/tcpapp/TCPAppBase.cc
"""currentConsumptionChanged"""	currentConsumptionChangedSignal	ICcEnergyConsumer::	power/contract/ICcEnergyConsumer.cc
"""currentConsumptionChanged"""	currentConsumptionChangedSignal	ICcEnergySource::	power/contract/ICcEnergySource.cc
"""currentGenerationChanged"""	currentGenerationChangedSignal	ICcEnergyGenerator::	power/contract/ICcEnergyGenerator.cc
"""currentGenerationChanged"""	currentGenerationChangedSignal	ICcEnergySink::	power/contract/ICcEnergySink.cc
"""datarate"""	datarateSignal	RateControlBase::	linklayer/ieee80211/mac/ratecontrol/RateControlBase.cc
