cwnd:vector SingleTcpSender.A.tcp.conn-6 (#0 - General-0-20260326-14:42:18-78004),
4.673743058213,10987
4.675213058213,11070
4.677893058213,11153
4.682083058213,11235
4.688143058213,11317
4.698213058213,11398
4.699643058213,11478
4.702233058213,11558
4.706253058213,11637
4.712063058213,11716
4.732341458213,11794
4.733731458213,11872
4.736231458213,11949
4.740111458213,12026
4.745211458213,12102
4.755281458213,12178
4.756641458213,12253
4.759061458213,12328
4.762811458213,12402
4.768241458213,12476
4.775801458213,12549
4.785031458213,12622
4.793721458213,12695
4.805126258213,12767
4.806436258213,12839
4.808736258213,12910
4.812246258213,12981
4.817256258213,13051
4.824136258213,13121
4.834206258213,13191
4.835486258213,13260
4.837716258213,13329
4.841106258213,13398
4.845916258213,13466
4.852516258213,13534
4.863724658213,13602
4.864974658213,13669
4.867144658213,13736
4.870414658213,13803
4.875064658213,13869
4.880924658213,13935
4.890994658213,14001
4.892224658213,14066
4.894334658213,14131
4.897504658213,14196
4.901994658213,14260
4.908164658213,14324
4.916454658213,14388
4.926414658213,14452
4.935834658213,14515
4.945904658213,14578
4.947094658213,14641
4.949124658213,14703
4.952134658213,14765
4.956354658213,14827
4.962064658213,14889
4.969644658213,14950
4.979714658213,15011
4.980884658213,15072
4.982854658213,15133
4.985774658213,15193
4.989854658213,15253
4.995344658213,15313
5.002624658213,15373
5.012694658213,15432
5.013844658213,15491
5.015764658213,15550
5.018604658213,15609
5.022544658213,15668
5.027854658213,15726
5.042564658213,10743
5.046384658213,11703
5.051514658213,12663
5.058324658213,13623
5.067254658213,14583
5.077324658213,15543
5.078324658213,16503
5.088374658213,17463
5.098444658213,18423
5.099544658213,19383
5.101364658213,20343
5.104014658213,21303
5.110344658213,22263
5.118534658213,23223
5.128604658213,24183
5.129684658213,25143
5.131464658213,26103
5.134044658213,27063
5.137564658213,28023
5.142244658213,28983
5.150124658213,29943
5.160194658213,30903
5.161254658213,31863
5.162994658213,32823
5.165504658213,33783
5.168934658213,34743
5.173464658213,35703
5.183534658213,7863
5.229827858213,6811
5.239897858213,7771
5.249967858213,8731
5.260037858213,9691
5.270107858213,10651
5.280177858213,11611
5.290247858213,12571
5.300317858213,13531
5.310387858213,14491
5.320457858213,15451
5.330527858213,16411
5.340597858213,17371
5.350667858213,18331
5.360737858213,19291
5.370807858213,3931
6.370807858213,960
6.502191058213,1920
6.633574258213,2880
6.764957458213,3200
6.896340658213,3488
6.920150658213,4800
7.027723858213,1920
7.037793858213,2400
7.047863858213,2784
7.074553858213,3115
7.078543858213,3410
7.179247058213,3680
7.188357058213,3930
7.205710258213,4164
7.212650258213,4385
7.310630258213,4595
7.313800258213,4795
7.323870258213,4987
7.325880258213,5171
7.337093458213,5349
7.339693458213,5521
7.348843458213,5687
7.442013458213,5849
7.444583458213,6006
7.449753458213,6159
7.459823458213,6308
7.462213458213,6454
7.466063458213,6596
7.476133458213,6735
7.478383458213,6871
7.482703458213,7005
7.492773458213,7136
7.493983458213,7265
7.573396658213,7391
7.575486658213,7515
7.579626658213,7637
7.586326658213,7757
7.596396658213,7875
7.598356658213,7992
7.602206658213,8107
7.607476658213,8220
7.617546658213,8332
7.619406658213,8442
7.623016658213,8551
7.628676658213,8658
7.638746658213,8764
7.640526658213,8869
7.643026658213,8972
